Avläst elanvändning per timme;;;;;
Informationen tillhandahålls av din nätägare: Vattenfall Eldistribution AB;;;;;
;;;;;
Anläggningsadress:;Nybyn Björkö;;;;
AnläggningsID:;UPO735999100000376429;;;;
;;;;;
Tidsperiod:;1 februari 2026 - 27 februari 2026;;;;
Jämförelseperiod:;1 februari 2025 - 27 februari 2025;;;;
;;;;;
1 februari 2026 - 27 februari 2026;kWh;1 februari 2025 - 27 februari 2025;kWh;Temperatur 2026 februari - 2026 februari (°C);Temperatur 2025 februari - 2025 februari (°C)
2026-02-12 01:00;1,372;2025-02-12 01:00;3,782;−2,2;−0,4
2026-02-12 02:00;2,66;2025-02-12 02:00;3,303;−2,6;−0,4
2026-02-12 03:00;2,707;2025-02-12 03:00;2,634;−2,6;−0,3
2026-02-12 04:00;5,112;2025-02-12 04:00;0,85;−2,9;−0,4
2026-02-12 05:00;5,167;2025-02-12 05:00;2,461;−3,2;−0,7
2026-02-12 06:00;2,31;2025-02-12 06:00;2,949;−3,4;−0,8
2026-02-12 07:00;3,549;2025-02-12 07:00;4,028;−4;−1,4
2026-02-12 08:00;4,765;2025-02-12 08:00;2,09;−4,4;−1,6
2026-02-12 09:00;4,127;2025-02-12 09:00;3,49;−3,8;−1,4
2026-02-12 10:00;2,16;2025-02-12 10:00;2,124;−4,1;−1,2
2026-02-12 11:00;1,338;2025-02-12 11:00;2,977;−4,2;−1,4
2026-02-12 12:00;1,401;2025-02-12 12:00;3,271;−4,1;−1,4
2026-02-12 13:00;3,045;2025-02-12 13:00;1,922;−4,2;−1,5
2026-02-12 14:00;3,337;2025-02-12 14:00;3,12;−4,8;−1,6
2026-02-12 15:00;3,675;2025-02-12 15:00;2,147;−4,9;−1,7
2026-02-12 16:00;5,341;2025-02-12 16:00;3,624;−5,1;−2
2026-02-12 17:00;4,619;2025-02-12 17:00;2,656;−5,6;−2,1
2026-02-12 18:00;4,378;2025-02-12 18:00;3,91;−5,7;−2,2
2026-02-12 19:00;4,464;2025-02-12 19:00;3,217;−6,8;−2,3
2026-02-12 20:00;5,44;2025-02-12 20:00;4,028;−8,3;−2,5
2026-02-12 21:00;4,189;2025-02-12 21:00;3,804;−7,7;−2,6
2026-02-12 22:00;3,192;2025-02-12 22:00;2,845;−6,7;−2,5
2026-02-12 23:00;5,146;2025-02-12 23:00;3,316;−6,5;−2,4
2026-02-13 00:00;4,7;2025-02-13 00:00;2,773;−6,2;−2,5
2026-02-13 01:00;5,638;2025-02-13 01:00;3,854;−6,6;−2,4
2026-02-13 02:00;3,773;2025-02-13 02:00;2,349;−6,4;−2,4
2026-02-13 03:00;4,254;2025-02-13 03:00;3,723;−6,2;−2
2026-02-13 04:00;5,098;2025-02-13 04:00;1,986;−6;−1,4
2026-02-13 05:00;4,365;2025-02-13 05:00;3,05;−5,8;−0,7
2026-02-13 06:00;3,676;2025-02-13 06:00;1,636;−6,5;−0,3
2026-02-13 07:00;3,957;2025-02-13 07:00;1,052;−6,1;−0,2
2026-02-13 08:00;5,403;2025-02-13 08:00;2,189;−6,2;−0,6
2026-02-13 09:00;4,369;2025-02-13 09:00;1,994;−6,8;−1
2026-02-13 10:00;4,383;2025-02-13 10:00;3,741;−7,4;−1,1
2026-02-13 11:00;3,864;2025-02-13 11:00;2,146;−7;−1
2026-02-13 12:00;5,332;2025-02-13 12:00;0,917;−6,5;−1
2026-02-13 13:00;4,372;2025-02-13 13:00;2,362;−6,8;−1,3
2026-02-13 14:00;3,139;2025-02-13 14:00;1,925;−7,2;−1,4
2026-02-13 15:00;2,848;2025-02-13 15:00;4,474;−7,1;−1,3
2026-02-13 16:00;5,045;2025-02-13 16:00;4,936;−7,3;−1,1
2026-02-13 17:00;5,017;2025-02-13 17:00;1,714;−7,4;−1,1
2026-02-13 18:00;4,043;2025-02-13 18:00;1,094;−7,3;−1,5
2026-02-13 19:00;5,403;2025-02-13 19:00;2,474;−7;−1,2
2026-02-13 20:00;5,707;2025-02-13 20:00;2,592;−7,2;−1,1
2026-02-13 21:00;4,996;2025-02-13 21:00;4,5;−7;−1,5
2026-02-13 22:00;4,449;2025-02-13 22:00;2,278;−7,2;−2,3
2026-02-13 23:00;3,62;2025-02-13 23:00;0,924;−7,1;−1,1
2026-02-14 00:00;5,716;2025-02-14 00:00;3,486;−7,2;−2,1
2026-02-14 01:00;5,152;2025-02-14 01:00;2,428;−7,3;−2,2
2026-02-14 02:00;3,818;2025-02-14 02:00;3,056;−6,8;−2,1
2026-02-14 03:00;5,242;2025-02-14 03:00;3,03;−6,7;−2
2026-02-14 04:00;6,388;2025-02-14 04:00;4,795;−6,7;−2,4
2026-02-14 05:00;5,232;2025-02-14 05:00;3,21;−6,8;−2,2
2026-02-14 06:00;4,001;2025-02-14 06:00;2,802;−6,8;−2,2
2026-02-14 07:00;3,731;2025-02-14 07:00;4,42;−6,8;−2,3
